1,18,3
1,29,-2,
1,21,14,6,4
1,18,3
2,29,-2,
1,21,24,14,4
1,18,9,14,4
3,29,-2,
1,21,6,14,4
1,18,9,14,4
4,29,-2,
1,21,6,14,4
1,18,3
5,29,-2,
1,21,6,9,18,3
1,18,26,4,14,27,28,31,1
6,29,-2,
6,21,-2,
1,18,4
7,29,-2,
7,21,-2,
1,18,4
8,29,-2,
8,21,-2,
1,18,4
9,29,-2,
9,21,-2,
1,18,27,4
10,29,-2,
10,21,-2,
1,18,27,4
11,29,-2,
11,21,-2,
1,18,27,4
12,29,-2,
12,21,-2,
1,18,27,4
13,29,-2,
13,21,-2,
14,18,-2,
14,29,-2,
14,21,-2,
15,18,-2,
15,29,-2,
15,21,-2,
16,18,-2,
16,29,-2,
16,21,-2,
17,18,-2,
17,29,-2,
17,21,-2,
18,18,-2,
18,29,-2,
18,21,-2,
19,18,-2,
19,29,-2,
19,21,-2,
20,18,-2,
20,29,-2,
20,21,-2,
21,18,-2,
21,29,-2,
21,21,-2,
22,18,-2,
22,29,-2,
22,21,-2,
23,18,-2,
23,29,-2,
23,21,-2,
24,18,-2,
24,29,-2,
24,21,-2,
25,18,-2,
25,29,-2,
25,21,-2,
26,18,-2,
26,29,-2,
26,21,-2,
27,18,-2,
27,29,-2,
27,21,-2,
28,18,-2,
28,29,-2,
28,21,-2,
29,18,-2,
29,29,-2,
29,21,-2,
30,18,-2,
30,29,-2,
30,21,-2,
