1,23,2
1,7,2
1,33,7,2
1,23,2
1,7,23,2
1,33,4
1,23,2
1,7,26,8,24,1
1,33,23,2
1,23,32,2
1,7,12,24,9,1
1,33,23,32,2
1,23,4,2
1,7,26,9,1
1,33,4,2
1,23,4,2
1,7,26,9,1
1,33,4,2
1,23,7,26,1
1,7,26,1
1,33,17,23,7,26,1
1,23,7,26,1
1,7,26,1
1,33,17,23,7,26,1
1,23,27,7,26,1
1,7,26,1
1,33,30,4
1,23,7,1
1,7,1
1,33,17,8,9,0,1
1,23,0,1
1,7,1
1,33,21,8,9,0,1
1,23,0,1
1,7,1
1,33,21,8,9,23,0,1
1,23,0,1
1,7,1
1,33,21,8,9,23,0,1
1,23,0,1
1,7,1
1,33,21,8,9,27,23,0,1
1,23,0,1
1,7,1
15,33,-2,
1,23,0,1
1,7,1
16,33,-2,
1,23,28,0,1
1,7,26,29,23,28,0,1
17,33,-2,
1,23,28,0,1
1,7,26,29,23,28,0,1
18,33,-2,
1,23,28,0,1
1,7,26,29,23,28,0,1
19,33,-2,
1,23,28,0,1
1,7,26,29,23,28,0,1
20,33,-2,
21,23,-2,
21,7,-2,
21,33,-2,
22,23,-2,
22,7,-2,
22,33,-2,
23,23,-2,
23,7,-2,
23,33,-2,
24,23,-2,
24,7,-2,
24,33,-2,
25,23,-2,
25,7,-2,
25,33,-2,
26,23,-2,
26,7,-2,
26,33,-2,
27,23,-2,
27,7,-2,
27,33,-2,
28,23,-2,
28,7,-2,
28,33,-2,
29,23,-2,
29,7,-2,
29,33,-2,
30,23,-2,
30,7,-2,
30,33,-2,
