1,26,12,0,2
1,33,2
1,8,5
1,26,0,2
1,33,2
1,8,5
1,26,0,2
1,33,18,5,8,11,15,1
1,8,5
1,26,7,4
1,33,18,5,11,15,1
1,8,5
1,26,20,7,4
1,33,18,28,11,15,1
1,8,5
1,26,14,0
1,33,22,7,2,11,1
1,8,15,1
1,26,20,0,2
1,33,18,22,7,2
1,8,15,5
1,26,20,0,2
1,33,18,22,7,2
1,8,15,5
1,26,20,28,2
1,33,18,22,2
9,8,-2,
1,26,20,28,0,2
10,33,-2,
10,8,-2,
1,26,20,28,0,2
11,33,-2,
11,8,-2,
1,26,20,28,0,2
12,33,-2,
12,8,-2,
1,26,20,28,0
13,33,-2,
13,8,-2,
1,26,20,28,11,22,0,2
14,33,-2,
14,8,-2,
1,26,20,28,11,22,2
15,33,-2,
15,8,-2,
1,26,20,28,29,11,22,0,2
16,33,-2,
16,8,-2,
1,26,20,28,29,11,22,0,2
17,33,-2,
17,8,-2,
18,26,-2,
18,33,-2,
18,8,-2,
19,26,-2,
19,33,-2,
19,8,-2,
20,26,-2,
20,33,-2,
20,8,-2,
21,26,-2,
21,33,-2,
21,8,-2,
22,26,-2,
22,33,-2,
22,8,-2,
23,26,-2,
23,33,-2,
23,8,-2,
24,26,-2,
24,33,-2,
24,8,-2,
25,26,-2,
25,33,-2,
25,8,-2,
26,26,-2,
26,33,-2,
26,8,-2,
27,26,-2,
27,33,-2,
27,8,-2,
28,26,-2,
28,33,-2,
28,8,-2,
29,26,-2,
29,33,-2,
29,8,-2,
30,26,-2,
30,33,-2,
30,8,-2,
