1,26,4,20,31,28,5
1,33,2
1,8,5
2,26,0,2
2,33,2
2,8,5
3,26,0,2
3,33,18,5
3,8,5,28,2,0
4,26,7,4,22,6,3
4,33,18,5,11,15,1
4,8,5
5,26,20,7,4
5,33,4,7,34,0
5,8,5
6,26,14,0
6,33,22,7,2
6,8,15,11,2,0
7,26,20,0
7,33,18,22,7,34,0
7,8,15,5
8,26,20,0,2
8,33,18,22,7,0
8,8,15,5
9,26,20,28,0
9,33,18,22,2,0
9,8,-2,
10,26,20,28,0
10,33,-2,
10,8,-2,
11,26,20,28,0,2
11,33,-2,
11,8,-2,
12,26,20,28,0
12,33,-2,
12,8,-2,
13,26,20,28,0
13,33,-2,
13,8,-2,
14,26,20,28,11,22,0
14,33,-2,
14,8,-2,
15,26,20,28,11,22,0
15,33,-2,
15,8,-2,
16,26,20,28,29,11,22,0,2
16,33,-2,
16,8,-2,
17,26,20,28,29,11,22,0
17,33,-2,
17,8,-2,
18,26,-2,
18,33,-2,
18,8,-2,
19,26,-2,
19,33,-2,
19,8,-2,
20,26,-2,
20,33,-2,
20,8,-2,
21,26,-2,
21,33,-2,
21,8,-2,
22,26,-2,
22,33,-2,
22,8,-2,
23,26,-2,
23,33,-2,
23,8,-2,
24,26,-2,
24,33,-2,
24,8,-2,
25,26,-2,
25,33,-2,
25,8,-2,
26,26,-2,
26,33,-2,
26,8,-2,
27,26,-2,
27,33,-2,
27,8,-2,
28,26,-2,
28,33,-2,
28,8,-2,
29,26,-2,
29,33,-2,
29,8,-2,
30,26,-2,
30,33,-2,
30,8,-2,
