1,20,1
1,11,9,22,1
1,15,6,34,2,8,19,1
1,20,1
1,11,9,1
1,15,34,2,19,20,1
1,20,1
1,11,9,1
1,15,34,2,21,19,26,1
1,20,1
1,11,9,1
1,15,34,2
1,20,1
1,11,28,8,1
1,15,34,21,19,16,8,1
1,20,9,1
1,11,28,8,1
1,15,34,21,2
1,20,9,1
1,11,28,8,1
1,15,34,21,2,30,16,1
1,20,9,1
1,11,28,8,1
1,15,34,21,2,30,16,1
1,20,9,1
1,11,28,8,20,9,1
1,15,34,21,14,2,30,16,1
10,20,-2,
10,11,-2,
1,15,34,21,14,2
11,20,-2,
11,11,-2,
1,15,34,21,14,2
12,20,-2,
12,11,-2,
12,15,-2,
13,20,-2,
13,11,-2,
1,15,34,21,14,2
14,20,-2,
14,11,-2,
14,15,-2,
15,20,-2,
15,11,-2,
15,15,-2,
16,20,-2,
16,11,-2,
16,15,-2,
17,20,-2,
17,11,-2,
17,15,-2,
18,20,-2,
18,11,-2,
18,15,-2,
19,20,-2,
19,11,-2,
19,15,-2,
20,20,-2,
20,11,-2,
20,15,-2,
21,20,-2,
21,11,-2,
21,15,-2,
22,20,-2,
22,11,-2,
22,15,-2,
23,20,-2,
23,11,-2,
23,15,-2,
24,20,-2,
24,11,-2,
24,15,-2,
25,20,-2,
25,11,-2,
25,15,-2,
26,20,-2,
26,11,-2,
26,15,-2,
27,20,-2,
27,11,-2,
27,15,-2,
28,20,-2,
28,11,-2,
28,15,-2,
29,20,-2,
29,11,-2,
29,15,-2,
30,20,-2,
30,11,-2,
30,15,-2,
