1,20,19,8,2
1,11,13,35,16,31,30,32,5
1,15,5
2,20,19,2
2,11,13,25,17,23,3,30,32,5
2,15,6,5
3,20,1
3,11,13,22,16,27,30,14,5
3,15,34,2
4,20,1
4,11,9,28,22,17,35,0
4,15,34,2,27,31,5
5,20,1
5,11,28,8,16,19,2
5,15,34,21,19,27,14,5
6,20,9,1,16,30,19,27,31,5
6,11,13,7,17,35,0
6,15,34,21,2,27,31,5
7,20,9,1,16,30,19,14,31,5
7,11,28,8,1
7,15,34,21,2,19,14,31,5
8,20,9,1,16,24,22,35,0
8,11,28,8,1
8,15,34,21,14,27,31,5
9,20,9,1,16,30,2,14,19,5
9,11,28,8,20,9,1
9,15,34,21,14,2
10,20,-2,
10,11,-2,
10,15,34,31,27,19,5
11,20,-2,
11,11,-2,
11,15,34,21,14,2
12,20,-2,
12,11,-2,
12,15,-2,
13,20,-2,
13,11,-2,
13,15,34,21,14,2
14,20,-2,
14,11,-2,
14,15,-2,
15,20,-2,
15,11,-2,
15,15,-2,
16,20,-2,
16,11,-2,
16,15,-2,
17,20,-2,
17,11,-2,
17,15,-2,
18,20,-2,
18,11,-2,
18,15,-2,
19,20,-2,
19,11,-2,
19,15,-2,
20,20,-2,
20,11,-2,
20,15,-2,
21,20,-2,
21,11,-2,
21,15,-2,
22,20,-2,
22,11,-2,
22,15,-2,
23,20,-2,
23,11,-2,
23,15,-2,
24,20,-2,
24,11,-2,
24,15,-2,
25,20,-2,
25,11,-2,
25,15,-2,
26,20,-2,
26,11,-2,
26,15,-2,
27,20,-2,
27,11,-2,
27,15,-2,
28,20,-2,
28,11,-2,
28,15,-2,
29,20,-2,
29,11,-2,
29,15,-2,
30,20,-2,
30,11,-2,
30,15,-2,
