"seconds_ahp","run","seconds_it","users","speed"
"1",0.019241,"1",0.006996,30,"0"
"2",0.016907,"1",0.005576,30,"0"
"3",0.012578,"1",0.004173,30,"0"
"4",0.011662,"1",0.004878,30,"0"
"5",0.01283,"1",0.003761,30,"0"
"6",0.010719,"1",0.003086,30,"0"
"7",0.009419,"1",0.002884,30,"0"
"8",0.00748,"1",0.004307,30,"0"
"9",0.016441,"1",0.007287,30,"0"
"10",0.01547,"1",0.006799,30,"0"
"11",0.008235,"1",0.00385,30,"0"
"12",0.014048,"1",0.003724,30,"0"
"13",0.009166,"1",0.003227,30,"0"
"14",0.010075,"1",0.004588,30,"0"
"15",0.011954,"1",0.004949,30,"0"
"16",0.017674,"1",0.004318,30,"0"
"17",0.011472,"1",0.004103,30,"0"
"18",0.013,"1",0.003316,30,"0"
"19",0.016639,"1",0.003882,30,"0"
"20",0.018864,"1",0.008669,30,"0"
"21",0.024501,"1",0.00472,30,"0"
"22",0.014951,"1",0.004804,30,"0"
"23",0.01514,"1",0.004586,30,"0"
"24",0.011606,"1",0.005216,30,"0"
"25",0.021317,"1",0.005273,30,"0"
"26",0.015423,"1",0.005183,30,"0"
"27",0.011027,"1",0.007182,30,"0"
"28",0.019522,"1",0.018504,30,"0"
"29",0.015637,"1",0.007652,30,"0"
"30",0.019024,"1",0.004571,30,"0"
"31",0.016953,"10",0.003611,30,"0"
"32",0.01409,"10",0.003836,30,"0"
"33",0.012946,"10",0.004227,30,"0"
"34",0.009701,"10",0.002967,30,"0"
"35",0.012668,"10",0.003519,30,"0"
"36",0.007985,"10",0.002415,30,"0"
"37",0.008901,"10",0.004151,30,"0"
"38",0.007966,"10",0.002456,30,"0"
"39",0.009517,"10",0.003284,30,"0"
"40",0.008294,"10",0.00291,30,"0"
"41",0.013154,"10",0.002567,30,"0"
"42",0.012788,"10",0.003863,30,"0"
"43",0.009399,"10",0.003513,30,"0"
"44",0.015014,"10",0.002984,30,"0"
"45",0.012676,"10",0.003105,30,"0"
"46",0.009591,"10",0.003332,30,"0"
"47",0.011269,"10",0.003456,30,"0"
"48",0.010792,"10",0.002456,30,"0"
"49",0.010705,"10",0.003819,30,"0"
"50",0.010625,"10",0.004186,30,"0"
"51",0.010225,"10",0.005423,30,"0"
"52",0.012107,"10",0.00336,30,"0"
"53",0.014329,"10",0.003784,30,"0"
"54",0.009512,"10",0.003526,30,"0"
"55",0.014694,"10",0.003467,30,"0"
"56",0.012451,"10",0.003592,30,"0"
"57",0.008286,"10",0.004069,30,"0"
"58",0.019481,"11",0.005771,30,"0"
"59",0.015314,"11",0.004165,30,"0"
"60",0.011734,"11",0.005597,30,"0"
"61",0.010275,"11",0.006689,30,"0"
"62",0.010937,"11",0.004696,30,"0"
"63",0.017545,"11",0.0056,30,"0"
"64",0.010011,"11",0.003201,30,"0"
"65",0.007913,"11",0.004895,30,"0"
"66",0.011219,"11",0.004271,30,"0"
"67",0.023583,"11",0.004585,30,"0"
"68",0.010658,"11",0.003831,30,"0"
"69",0.016585,"11",0.004083,30,"0"
"70",0.010111,"11",0.003881,30,"0"
"71",0.015195,"11",0.003695,30,"0"
"72",0.007792,"11",0.003486,30,"0"
"73",0.011047,"11",0.003795,30,"0"
"74",0.013454,"11",0.004309,30,"0"
"75",0.010423,"11",0.003111,30,"0"
"76",0.009289,"11",0.004071,30,"0"
"77",0.020305,"11",0.004642,30,"0"
"78",0.011949,"11",0.006922,30,"0"
"79",0.013651,"11",0.004561,30,"0"
"80",0.039097,"11",0.0046,30,"0"
"81",0.00854,"11",0.003482,30,"0"
"82",0.005605,"11",0.003285,30,"0"
"83",0.009078,"11",0.002577,30,"0"
"84",0.007698,"11",0.002579,30,"0"
"85",0.008104,"11",0.003801,30,"0"
"86",0.00592,"11",0.002524,30,"0"
"87",0.00757,"11",0.002797,30,"0"
"88",0.016518,"12",0.005544,30,"0"
"89",0.036987,"12",0.003887,30,"0"
"90",0.008794,"12",0.004597,30,"0"
"91",0.0117,"12",0.002978,30,"0"
"92",0.011052,"12",0.003651,30,"0"
"93",0.008412,"12",0.003927,30,"0"
"94",0.011202,"12",0.004536,30,"0"
"95",0.009387,"12",0.004366,30,"0"
"96",0.017855,"12",0.006348,30,"0"
"97",0.012404,"12",0.004334,30,"0"
"98",0.01164,"12",0.005567,30,"0"
"99",0.01997,"12",0.003588,30,"0"
"100",0.014446,"12",0.004384,30,"0"
"101",0.014728,"12",0.003928,30,"0"
"102",0.018173,"12",0.004902,30,"0"
"103",0.014886,"12",0.006107,30,"0"
"104",0.017753,"12",0.00464,30,"0"
"105",0.011895,"12",0.035973,30,"0"
"106",0.016781,"12",0.004732,30,"0"
"107",0.011267,"12",0.003905,30,"0"
"108",0.013477,"12",0.003579,30,"0"
"109",0.011399,"12",0.003275,30,"0"
"110",0.009913,"12",0.003707,30,"0"
"111",0.011888,"12",0.003135,30,"0"
"112",0.012335,"12",0.006249,30,"0"
"113",0.015503,"12",0.005626,30,"0"
"114",0.01128,"12",0.00553,30,"0"
"115",0.009954,"12",0.004629,30,"0"
"116",0.014213,"12",0.005064,30,"0"
"117",0.011904,"12",0.004599,30,"0"
"118",0.020295,"13",0.004199,30,"0"
"119",0.014152,"13",0.003312,30,"0"
"120",0.010753,"13",0.004399,30,"0"
"121",0.011649,"13",0.003056,30,"0"
"122",0.015239,"13",0.002485,30,"0"
"123",0.014377,"13",0.003185,30,"0"
"124",0.009184,"13",0.002881,30,"0"
"125",0.007146,"13",0.003541,30,"0"
"126",0.015925,"13",0.005699,30,"0"
"127",0.021918,"13",0.003685,30,"0"
"128",0.010707,"13",0.003506,30,"0"
"129",0.013017,"13",0.004776,30,"0"
