"Iteration","Dst","Src","Accuracy","Completeness","Timeliness","Reliability","run","method","users","speed"
"1",1,35,2,0.4,0.2,0.1,0.3,"1","it",3,"0"
"2",1,19,2,0.4,0.141176,0.070588,0.3,"1","it",3,"0"
"3",1,23,0,0.4,0.2,0.1,0.3,"1","it",3,"0"
"4",1,35,1,0.4,0.2,0.094444,0.283333,"1","ahp",3,"0"
"5",1,19,1,0.4,0.141176,0.060588,0.27,"1","ahp",3,"0"
"6",1,23,1,0.4,0.2,0.1,0.3,"1","ahp",3,"0"
"7",1,17,0,0.4,0.2,0.1,0.3,"10","it",3,"0"
"8",1,20,0,0.4,0.2,0.1,0.3,"10","it",3,"0"
"9",1,23,1,0.4,0.2,0.1,0.3,"10","it",3,"0"
"10",1,17,1,0.4,0.2,0.1,0.3,"10","ahp",3,"0"
"11",1,20,1,0.4,0.2,0.1,0.3,"10","ahp",3,"0"
"12",1,23,1,0.4,0.133333,0.066667,0.3,"10","ahp",3,"0"
"13",1,33,2,0.3,0.2,0.1,0.225,"11","it",3,"0"
"14",1,21,2,0.4,0.2,0.1,0.3,"11","it",3,"0"
"15",1,24,2,0.4,0.2,0.1,0.3,"11","it",3,"0"
"16",1,33,1,0.3,0.2,0.1,0.225,"11","ahp",3,"0"
"17",1,21,4,0.356,0.178,0.1,0.3,"11","ahp",3,"0"
"18",1,24,4,0.356,0.178,0.1,0.3,"11","ahp",3,"0"
"19",1,16,5,0.4,0.2,0.1,0.3,"12","it",3,"0"
"20",1,20,5,0.3,0.2,0.1,0.225,"12","it",3,"0"
"21",1,9,1,0.4,0.2,0.1,0.3,"12","it",3,"0"
"22",1,16,1,0.3,0.2,0.1,0.225,"12","ahp",3,"0"
"23",1,20,1,0.3,0.2,0.1,0.225,"12","ahp",3,"0"
"24",1,9,1,0.4,0.2,0.1,0.3,"12","ahp",3,"0"
"25",1,22,2,0.4,0.2,0.1,0.3,"13","it",3,"0"
"26",1,9,1,0.4,0.2,0.1,0.3,"13","it",3,"0"
"27",1,12,2,0.4,0.2,0.1,0.3,"13","it",3,"0"
"28",1,22,2,0.4,0.2,0.1,0.3,"13","ahp",3,"0"
"29",1,9,1,0.4,0.2,0.1,0.3,"13","ahp",3,"0"
"30",1,12,1,0.3,0.2,0.1,0.225,"13","ahp",3,"0"
"31",1,8,1,0.4,0.2,0.1,0.3,"14","it",3,"0"
"32",1,12,0,0.4,0.2,0.1,0.3,"14","it",3,"0"
"33",1,14,1,0.4,0.2,0.1,0.3,"14","it",3,"0"
"34",1,8,0,0.4,0.2,0.1,0.3,"14","ahp",3,"0"
"35",1,12,1,0.3,0.2,0.1,0.225,"14","ahp",3,"0"
"36",1,14,1,0.4,0.2,0.1,0.3,"14","ahp",3,"0"
"37",1,20,5,0.3,0.2,0.1,0.225,"15","it",3,"0"
"38",1,25,2,0.3,0.2,0.1,0.225,"15","it",3,"0"
"39",1,15,1,0.4,0.2,0.1,0.3,"15","it",3,"0"
"40",1,20,1,0.3,0.189372,0.094686,0.225,"15","ahp",3,"0"
"41",1,25,1,0.3,0.2,0.1,0.225,"15","ahp",3,"0"
"42",1,15,1,0.4,0.1,0.05,0.3,"15","ahp",3,"0"
"43",1,32,5,0.4,0.2,0.1,0.3,"16","it",3,"0"
