"seconds_ahp","run","seconds_it","users","speed"
"1",0.021005,"1",0.006446,3,"0"
"2",0.020632,"1",0.004431,3,"0"
"3",0.011343,"1",0.004163,3,"0"
"4",0.017228,"10",0.006883,3,"0"
"5",0.02825,"10",0.011315,3,"0"
"6",0.010634,"10",0.003645,3,"0"
"7",0.010864,"11",0.006666,3,"0"
"8",0.011419,"11",0.004858,3,"0"
"9",0.00806,"11",0.00368,3,"0"
"10",0.012884,"12",0.004269,3,"0"
"11",0.01032,"12",0.004195,3,"0"
"12",0.011025,"12",0.003758,3,"0"
"13",0.013945,"13",0.004761,3,"0"
"14",0.013321,"13",0.003912,3,"0"
"15",0.007357,"13",0.004523,3,"0"
"16",0.015651,"14",0.007489,3,"0"
"17",0.010799,"14",0.004229,3,"0"
"18",0.007694,"14",0.003844,3,"0"
"19",0.02639,"15",0.006673,3,"0"
"20",0.012112,"15",0.004419,3,"0"
"21",0.013102,"15",0.003006,3,"0"
"22",0.015746,"16",0.005051,3,"0"
"23",0.017289,"16",0.004896,3,"0"
"24",0.009489,"16",0.003846,3,"0"
"25",0.016011,"17",0.005496,3,"0"
"26",0.009027,"17",0.005039,3,"0"
"27",0.010501,"17",0.004064,3,"0"
"28",0.021296,"18",0.004727,3,"0"
"29",0.012229,"18",0.009515,3,"0"
"30",0.008273,"18",0.003449,3,"0"
"31",0.019399,"19",0.006206,3,"0"
"32",0.008294,"19",0.00432,3,"0"
"33",0.007445,"19",0.003547,3,"0"
"34",0.011371,"2",0.005079,3,"0"
"35",0.014038,"2",0.004577,3,"0"
"36",0.010357,"2",0.00403,3,"0"
"37",0.021198,"20",0.005155,3,"0"
"38",0.010339,"20",0.002897,3,"0"
"39",0.016874,"20",0.004083,3,"0"
"40",0.008756,"3",0.003131,3,"0"
"41",0.015067,"3",0.00449,3,"0"
"42",0.009809,"3",0.003612,3,"0"
"43",0.018673,"4",0.005482,3,"0"
"44",0.012837,"4",0.004326,3,"0"
"45",0.012225,"4",0.004565,3,"0"
"46",0.01442,"5",0.005108,3,"0"
"47",0.013674,"5",0.003793,3,"0"
"48",0.00998,"5",0.003121,3,"0"
"49",0.017869,"6",0.011541,3,"0"
"50",0.010619,"6",0.005693,3,"0"
"51",0.007642,"6",0.003248,3,"0"
"52",0.015244,"7",0.005271,3,"0"
"53",0.033452,"7",0.006004,3,"0"
"54",0.011631,"7",0.003832,3,"0"
"55",0.015271,"8",0.005185,3,"0"
"56",0.011134,"8",0.004078,3,"0"
"57",0.007238,"8",0.002666,3,"0"
"58",0.024122,"9",0.007786,3,"0"
"59",0.008511,"9",0.004122,3,"0"
"60",0.007983,"9",0.002261,3,"0"
"61",0.017588,"1",0.005185,30,"0"
"62",0.015145,"1",0.004611,30,"0"
