"Iteration","Dst","Src","Priority","Number","Percentage","run","method","users","speed"
"1",1,6,3,0.3,2,0.766667,"1","it",30,"0"
"2",1,7,5,0.6,2,0.96,"1","it",30,"0"
"3",1,8,1,1,4,1,"1","it",30,"0"
"4",1,9,1,1,4,1,"1","it",30,"0"
"5",1,10,0,1,4,1,"1","it",30,"0"
"6",1,11,5,0.3,2,0.766667,"1","it",30,"0"
"7",1,12,5,0.1,1,0.62808,"1","it",30,"0"
"8",1,13,2,0.3,2,0.7375,"1","it",30,"0"
"9",1,14,4,0.4,2,0.927068,"1","it",30,"0"
"10",1,15,0,1,4,1,"1","it",30,"0"
"11",1,16,2,0.3,2,0.7375,"1","it",30,"0"
"12",1,17,0,1,4,1,"1","it",30,"0"
"13",1,18,1,0.7,2,0.85,"1","it",30,"0"
"14",1,19,1,0.7,2,0.85,"1","it",30,"0"
"15",1,20,5,0.3,2,0.825,"1","it",30,"0"
"16",1,21,0,0.1,1,0.630673,"1","it",30,"0"
"17",1,22,1,1,4,1,"1","it",30,"0"
"18",1,23,1,1,4,1,"1","it",30,"0"
"19",1,24,0,0.2,1,0.665,"1","it",30,"0"
"20",1,25,1,0.1,1,0.819431,"1","it",30,"0"
"21",1,26,0,0.1,1,0.787121,"1","it",30,"0"
"22",1,27,1,0.4,1,0.853042,"1","it",30,"0"
"23",1,28,3,0.1,1,0.608432,"1","it",30,"0"
"24",1,29,0,1,4,1,"1","it",30,"0"
"25",1,30,3,1,4,1,"1","it",30,"0"
"26",1,31,4,0.1,1,0.649641,"1","it",30,"0"
"27",1,32,0,0.6,2,0.85,"1","it",30,"0"
"28",1,33,4,0.4,2,0.826794,"1","it",30,"0"
"29",1,34,2,0.2,1,0.666667,"1","it",30,"0"
"30",1,35,2,0.2,1,0.5625,"1","it",30,"0"
"31",1,6,1,0,0,0.616667,"1","ahp",30,"0"
"32",1,7,1,0.4,1,0.81,"1","ahp",30,"0"
"33",1,8,1,1,4,1,"1","ahp",30,"0"
"34",1,9,1,0.7,2,0.964274,"1","ahp",30,"0"
"35",1,10,1,0.7,2,0.85,"1","ahp",30,"0"
"36",1,11,1,0,0,0.616667,"1","ahp",30,"0"
"37",1,12,1,0,0,0.614174,"1","ahp",30,"0"
"38",1,13,4,0.1,1,0.744018,"1","ahp",30,"0"
"39",1,14,4,0.4,2,0.927068,"1","ahp",30,"0"
"40",1,15,1,1,4,1,"1","ahp",30,"0"
"41",1,16,4,0.1,1,0.807917,"1","ahp",30,"0"
"42",1,17,1,0.7,2,0.85,"1","ahp",30,"0"
"43",1,18,1,0.7,2,0.85,"1","ahp",30,"0"
"44",1,19,1,0.7,2,0.85,"1","ahp",30,"0"
"45",1,20,1,0,0,0.675,"1","ahp",30,"0"
"46",1,21,1,0,0,0.5875,"1","ahp",30,"0"
"47",1,22,1,1,4,1,"1","ahp",30,"0"
"48",1,23,1,1,4,1,"1","ahp",30,"0"
"49",1,24,1,0,0,0.515,"1","ahp",30,"0"
"50",1,25,1,0.1,1,0.819431,"1","ahp",30,"0"
"51",1,26,1,0,0,0.733333,"1","ahp",30,"0"
"52",1,27,1,0.4,1,0.75,"1","ahp",30,"0"
"53",1,28,1,0,0,0.608333,"1","ahp",30,"0"
"54",1,29,1,0.7,2,0.85,"1","ahp",30,"0"
"55",1,30,4,0,0,0.893638,"1","ahp",30,"0"
"56",1,31,1,0,0,0.5875,"1","ahp",30,"0"
"57",1,32,1,0.4,1,0.7,"1","ahp",30,"0"
"58",1,33,4,0.4,2,0.826794,"1","ahp",30,"0"
"59",1,34,1,0,0,0.633333,"1","ahp",30,"0"
"60",1,35,1,0,0,0.541667,"1","ahp",30,"0"
"61",1,6,1,1,4,1,"10","it",30,"0"
"62",1,7,-2,0,0,0,"10","it",30,"0"
"63",1,8,2,0.1,1,0.78178,"10","it",30,"0"
"64",1,9,1,1,4,1,"10","it",30,"0"
"65",1,10,0,1,4,1,"10","it",30,"0"
"66",1,11,2,0.1,1,0.700355,"10","it",30,"0"
"67",1,12,4,0.3,2,0.7375,"10","it",30,"0"
"68",1,13,1,0.2,1,0.705,"10","it",30,"0"
"69",1,14,1,1,4,1,"10","it",30,"0"
"70",1,15,3,0.3,2,0.825,"10","it",30,"0"
"71",1,16,1,0.2,1,0.6375,"10","it",30,"0"
"72",1,17,1,0.3,2,0.766667,"10","it",30,"0"
"73",1,18,-2,0,0,0,"10","it",30,"0"
"74",1,19,1,0.2,1,0.691667,"10","it",30,"0"
"75",1,20,0,0.3,2,0.7375,"10","it",30,"0"
"76",1,21,-2,0,0,0,"10","it",30,"0"
"77",1,22,5,1,4,1,"10","it",30,"0"
"78",1,23,2,0.2,1,0.709524,"10","it",30,"0"
"79",1,24,1,0.3,2,0.7375,"10","it",30,"0"
"80",1,25,3,0.3,2,0.766667,"10","it",30,"0"
"81",1,26,4,1,4,1,"10","it",30,"0"
"82",1,27,0,0.1,1,0.666599,"10","it",30,"0"
"83",1,28,3,0.3,2,0.883333,"10","it",30,"0"
"84",1,29,1,0.3,2,0.883333,"10","it",30,"0"
"85",1,30,2,0.7,2,0.889278,"10","it",30,"0"
"86",1,31,0,0.1,1,0.725581,"10","it",30,"0"
"87",1,32,1,1,4,1,"10","it",30,"0"
"88",1,33,1,0.3,2,0.766667,"10","it",30,"0"
"89",1,34,1,0.3,2,0.825,"10","it",30,"0"
"90",1,35,0,0.3,2,0.7375,"10","it",30,"0"
"91",1,6,1,1,4,1,"10","ahp",30,"0"
"92",1,7,-2,0,0,0,"10","ahp",30,"0"
"93",1,8,2,0.1,1,0.78178,"10","ahp",30,"0"
"94",1,9,1,1,4,1,"10","ahp",30,"0"
"95",1,10,1,0.7,2,0.85,"10","ahp",30,"0"
"96",1,11,1,0,0,0.616667,"10","ahp",30,"0"
"97",1,12,1,0,0,0.5875,"10","ahp",30,"0"
"98",1,13,1,0.2,1,0.705,"10","ahp",30,"0"
"99",1,14,1,1,4,1,"10","ahp",30,"0"
"100",1,15,1,0.3,2,0.825,"10","ahp",30,"0"
"101",1,16,1,0.2,1,0.6375,"10","ahp",30,"0"
