"Iteration","Dst","Src","Accuracy","Completeness","Timeliness","Reliability","run","method","users","speed"
"1",1,6,3,0.266667,0.2,0.1,0.2,"1","it",30,"0"
"2",1,7,5,0.4,0.2,0.09,0.27,"1","it",30,"0"
"3",1,8,1,0.4,0.2,0.1,0.3,"1","it",30,"0"
"4",1,9,1,0.4,0.2,0.1,0.3,"1","it",30,"0"
"5",1,10,0,0.4,0.2,0.1,0.3,"1","it",30,"0"
"6",1,11,5,0.266667,0.2,0.1,0.2,"1","it",30,"0"
"7",1,12,5,0.174276,0.153804,0.1,0.2,"1","it",30,"0"
"8",1,13,2,0.25,0.2,0.1,0.1875,"1","it",30,"0"
"9",1,14,4,0.351379,0.175689,0.1,0.3,"1","it",30,"0"
"10",1,15,0,0.4,0.2,0.1,0.3,"1","it",30,"0"
"11",1,16,2,0.25,0.2,0.1,0.1875,"1","it",30,"0"
"12",1,17,0,0.4,0.2,0.1,0.3,"1","it",30,"0"
"13",1,18,1,0.4,0.1,0.05,0.3,"1","it",30,"0"
"14",1,19,1,0.4,0.1,0.05,0.3,"1","it",30,"0"
"15",1,20,5,0.3,0.2,0.1,0.225,"1","it",30,"0"
"16",1,21,0,0.178782,0.164391,0.1,0.1875,"1","it",30,"0"
"17",1,22,1,0.4,0.2,0.1,0.3,"1","it",30,"0"
"18",1,23,1,0.4,0.2,0.1,0.3,"1","it",30,"0"
"19",1,24,0,0.3,0.2,0.06,0.105,"1","it",30,"0"
"20",1,25,1,0.296287,0.198144,0.1,0.225,"1","it",30,"0"
"21",1,26,0,0.269192,0.167929,0.1,0.25,"1","it",30,"0"
"22",1,27,1,0.4,0.168695,0.059347,0.225,"1","it",30,"0"
"23",1,28,3,0.163955,0.156977,0.1,0.1875,"1","it",30,"0"
"24",1,29,0,0.4,0.2,0.1,0.3,"1","it",30,"0"
"25",1,30,3,0.4,0.2,0.1,0.3,"1","it",30,"0"
"26",1,31,4,0.183094,0.141547,0.1,0.225,"1","it",30,"0"
"27",1,32,0,0.4,0.2,0.0625,0.1875,"1","it",30,"0"
"28",1,33,4,0.284529,0.142265,0.1,0.3,"1","it",30,"0"
"29",1,34,2,0.266667,0.2,0.075,0.125,"1","it",30,"0"
"30",1,35,2,0.25,0.2,0.05625,0.05625,"1","it",30,"0"
"31",1,6,1,0.266667,0.1,0.05,0.2,"1","ahp",30,"0"
"32",1,7,1,0.4,0.1,0.04,0.27,"1","ahp",30,"0"
"33",1,8,1,0.4,0.2,0.1,0.3,"1","ahp",30,"0"
"34",1,9,1,0.4,0.176183,0.088091,0.3,"1","ahp",30,"0"
