"Iteration","Dst","Src","Score","method","scoretype"
"1",1,8,1,0.280976,"ahp","ahp"
"2",1,14,4,0.24426,"ahp","ahp"
"3",1,22,1,0.286455,"ahp","ahp"
"4",1,25,1,0.279834,"ahp","ahp"
"5",1,23,1,0.29262,"ahp","ahp"
"6",1,9,1,0.305562,"ahp","ahp"
"7",1,10,1,0.343429,"ahp","ahp"
"8",1,32,1,0.267268,"ahp","ahp"
"9",1,20,1,0.265133,"ahp","ahp"
"10",1,27,1,0.290479,"ahp","ahp"
"11",1,18,1,0.368779,"ahp","ahp"
"12",1,6,1,0.23889,"ahp","ahp"
"13",1,33,4,0.248024,"ahp","ahp"
"14",1,28,1,0.259118,"ahp","ahp"
"15",1,34,1,0.240728,"ahp","ahp"
"16",1,30,4,0.226776,"ahp","ahp"
"17",1,7,1,0.242726,"ahp","ahp"
"18",1,24,1,0.255769,"ahp","ahp"
"19",1,16,4,0.218634,"ahp","ahp"
"20",1,21,1,0.254767,"ahp","ahp"
"21",1,26,1,0.279265,"ahp","ahp"
"22",1,11,1,0.252281,"ahp","ahp"
"23",1,31,1,0.244878,"ahp","ahp"
"24",1,12,1,0.254038,"ahp","ahp"
"25",1,19,1,0.237777,"ahp","ahp"
"26",1,17,1,0.2545,"ahp","ahp"
"27",1,29,1,0.344827,"ahp","ahp"
"28",1,13,4,0.246228,"ahp","ahp"
"29",1,35,1,0.279027,"ahp","ahp"
"30",1,8,1,1,"ahp","it"
"31",1,14,4,0.934,"ahp","it"
"32",1,22,1,0.825,"ahp","it"
"33",1,25,1,1,"ahp","it"
"34",1,23,1,0.872961,"ahp","it"
"35",1,9,1,0.85,"ahp","it"
"36",1,10,1,0.85,"ahp","it"
"37",1,32,1,0.85,"ahp","it"
"38",1,20,1,0.675,"ahp","it"
"39",1,27,1,0.85,"ahp","it"
"40",1,18,1,0.85,"ahp","it"
"41",1,6,1,0.675,"ahp","it"
"42",1,33,4,0.934,"ahp","it"
"43",1,28,1,0.85,"ahp","it"
"44",1,34,1,0.85,"ahp","it"
"45",1,30,4,0.934,"ahp","it"
"46",1,7,1,0.675,"ahp","it"
"47",1,24,1,0.85,"ahp","it"
"48",1,16,4,0.934,"ahp","it"
"49",1,21,1,0.675,"ahp","it"
"50",1,26,1,0.85,"ahp","it"
"51",1,11,1,0.675,"ahp","it"
"52",1,31,1,0.675,"ahp","it"
"53",1,12,1,0.675,"ahp","it"
"54",1,19,1,0.675,"ahp","it"
"55",1,17,1,0.675,"ahp","it"
"56",1,29,1,0.85,"ahp","it"
"57",1,13,4,0.934,"ahp","it"
"58",1,35,1,0.85,"ahp","it"
"59",1,8,0,0.17411,"it","ahp"
"60",1,14,4,0.24426,"it","ahp"
"61",1,22,5,0.179589,"it","ahp"
"62",1,25,0,0.172968,"it","ahp"
"63",1,23,0,0.207493,"it","ahp"
"64",1,9,1,0.327301,"it","ahp"
"65",1,10,1,0.365169,"it","ahp"
"66",1,32,1,0.289007,"it","ahp"
"67",1,20,0,0.184355,"it","ahp"
"68",1,27,0,0.196362,"it","ahp"
"69",1,18,1,0.369466,"it","ahp"
"70",1,6,5,0.206389,"it","ahp"
"71",1,33,4,0.254202,"it","ahp"
"72",1,28,0,0.152938,"it","ahp"
"73",1,34,1,0.241414,"it","ahp"
"74",1,30,4,0.232955,"it","ahp"
"75",1,7,5,0.168126,"it","ahp"
"76",1,24,1,0.256456,"it","ahp"
"77",1,16,4,0.224813,"it","ahp"
"78",1,21,5,0.180167,"it","ahp"
"79",1,26,0,0.173086,"it","ahp"
"80",1,11,2,0.169967,"it","ahp"
"81",1,31,4,0.19027,"it","ahp"
"82",1,12,5,0.203164,"it","ahp"
"83",1,19,5,0.231089,"it","ahp"
"84",1,17,5,0.240802,"it","ahp"
"85",1,29,0,0.2397,"it","ahp"
"86",1,13,4,0.26188,"it","ahp"
"87",1,35,0,0.173901,"it","ahp"
"88",1,8,0,1,"it","it"
"89",1,14,4,0.934,"it","it"
"90",1,22,5,0.825,"it","it"
"91",1,25,0,1,"it","it"
"92",1,23,0,1,"it","it"
"93",1,9,1,1,"it","it"
"94",1,10,1,1,"it","it"
"95",1,32,1,1,"it","it"
"96",1,20,0,0.825,"it","it"
"97",1,27,0,0.972154,"it","it"
"98",1,18,1,0.860922,"it","it"
"99",1,6,5,0.825,"it","it"
"100",1,33,4,0.934,"it","it"
"101",1,28,0,0.85,"it","it"
"102",1,34,1,0.85,"it","it"
"103",1,30,4,0.934,"it","it"
"104",1,7,5,0.825,"it","it"
"105",1,24,1,0.85,"it","it"
"106",1,16,4,0.934,"it","it"
"107",1,21,5,0.825,"it","it"
"108",1,26,0,0.85,"it","it"
"109",1,11,2,0.770455,"it","it"
"110",1,31,4,0.934,"it","it"
"111",1,12,5,0.825,"it","it"
"112",1,19,5,0.825,"it","it"
