"Iteration","Dst","Src","Priority","Number","Percentage","run","method","users","speed"
"1",1,35,2,1,4,1,"1","it",3,"0"
"2",1,19,2,0.7,2,0.911765,"1","it",3,"0"
"3",1,23,0,1,4,1,"1","it",3,"0"
"4",1,35,1,0.6,2,0.977778,"1","ahp",3,"0"
"5",1,19,1,0.4,1,0.871765,"1","ahp",3,"0"
"6",1,23,1,1,4,1,"1","ahp",3,"0"
"7",1,17,0,1,4,1,"10","it",3,"0"
"8",1,20,0,1,4,1,"10","it",3,"0"
"9",1,23,1,1,4,1,"10","it",3,"0"
"10",1,17,1,1,4,1,"10","ahp",3,"0"
"11",1,20,1,1,4,1,"10","ahp",3,"0"
"12",1,23,1,0.7,2,0.9,"10","ahp",3,"0"
"13",1,33,2,0.3,2,0.825,"11","it",3,"0"
"14",1,21,2,1,4,1,"11","it",3,"0"
"15",1,24,2,1,4,1,"11","it",3,"0"
"16",1,33,1,0.3,2,0.825,"11","ahp",3,"0"
"17",1,21,4,0.4,2,0.934,"11","ahp",3,"0"
"18",1,24,4,0.4,2,0.934,"11","ahp",3,"0"
"19",1,16,5,1,4,1,"12","it",3,"0"
"20",1,20,5,0.3,2,0.825,"12","it",3,"0"
"21",1,9,1,1,4,1,"12","it",3,"0"
"22",1,16,1,0.3,2,0.825,"12","ahp",3,"0"
"23",1,20,1,0.3,2,0.825,"12","ahp",3,"0"
"24",1,9,1,1,4,1,"12","ahp",3,"0"
"25",1,22,2,1,4,1,"13","it",3,"0"
"26",1,9,1,1,4,1,"13","it",3,"0"
"27",1,12,2,1,4,1,"13","it",3,"0"
"28",1,22,2,1,4,1,"13","ahp",3,"0"
"29",1,9,1,1,4,1,"13","ahp",3,"0"
"30",1,12,1,0.3,2,0.825,"13","ahp",3,"0"
"31",1,8,1,1,4,1,"14","it",3,"0"
"32",1,12,0,1,4,1,"14","it",3,"0"
"33",1,14,1,1,4,1,"14","it",3,"0"
"34",1,8,0,1,4,1,"14","ahp",3,"0"
"35",1,12,1,0.3,2,0.825,"14","ahp",3,"0"
"36",1,14,1,1,4,1,"14","ahp",3,"0"
"37",1,20,5,0.3,2,0.825,"15","it",3,"0"
"38",1,25,2,0.3,2,0.825,"15","it",3,"0"
"39",1,15,1,1,4,1,"15","it",3,"0"
"40",1,20,1,0,0,0.809058,"15","ahp",3,"0"
"41",1,25,1,0.3,2,0.825,"15","ahp",3,"0"
"42",1,15,1,0.7,2,0.85,"15","ahp",3,"0"
"43",1,32,5,1,4,1,"16","it",3,"0"
"44",1,34,5,0.3,2,0.825,"16","it",3,"0"
"45",1,25,0,1,4,1,"16","it",3,"0"
"46",1,32,3,0.4,2,0.988,"16","ahp",3,"0"
"47",1,34,1,0.2,1,0.802778,"16","ahp",3,"0"
"48",1,25,4,0.4,2,0.934,"16","ahp",3,"0"
"49",1,32,1,1,4,1,"17","it",3,"0"
"50",1,19,5,1,4,1,"17","it",3,"0"
"51",1,28,5,1,4,1,"17","it",3,"0"
"52",1,32,1,1,4,1,"17","ahp",3,"0"
"53",1,19,1,0.3,2,0.825,"17","ahp",3,"0"
"54",1,28,5,1,4,1,"17","ahp",3,"0"
"55",1,20,5,1,4,1,"18","it",3,"0"
"56",1,30,5,1,4,1,"18","it",3,"0"
"57",1,31,5,1,4,1,"18","it",3,"0"
"58",1,20,3,0.4,2,0.988,"18","ahp",3,"0"
"59",1,30,3,0.4,2,0.988,"18","ahp",3,"0"
"60",1,31,3,0.4,2,0.988,"18","ahp",3,"0"
"61",1,35,2,1,4,1,"19","it",3,"0"
"62",1,10,3,0.4,2,0.988,"19","it",3,"0"
"63",1,12,2,0.3,2,0.825,"19","it",3,"0"
"64",1,35,1,0.3,2,0.825,"19","ahp",3,"0"
"65",1,10,1,0.3,2,0.825,"19","ahp",3,"0"
"66",1,12,1,0.3,2,0.825,"19","ahp",3,"0"
"67",1,32,0,1,4,1,"2","it",3,"0"
"68",1,24,5,1,4,1,"2","it",3,"0"
"69",1,26,5,0.3,2,0.825,"2","it",3,"0"
"70",1,32,4,0.4,2,0.934,"2","ahp",3,"0"
"71",1,24,2,1,4,1,"2","ahp",3,"0"
"72",1,26,1,0.3,2,0.825,"2","ahp",3,"0"
"73",1,16,0,1,4,1,"20","it",3,"0"
"74",1,28,1,0.3,2,0.825,"20","it",3,"0"
"75",1,12,5,0.3,2,0.825,"20","it",3,"0"
"76",1,16,1,0.3,2,0.825,"20","ahp",3,"0"
"77",1,28,1,0.3,2,0.825,"20","ahp",3,"0"
"78",1,12,1,0,0,0.675,"20","ahp",3,"0"
"79",1,18,0,1,4,1,"3","it",3,"0"
"80",1,23,5,0.3,2,0.825,"3","it",3,"0"
"81",1,24,2,1,4,1,"3","it",3,"0"
"82",1,18,1,0.3,2,0.825,"3","ahp",3,"0"
"83",1,23,2,0.3,2,0.825,"3","ahp",3,"0"
"84",1,24,2,1,4,1,"3","ahp",3,"0"
"85",1,18,2,1,4,1,"4","it",3,"0"
"86",1,25,5,1,4,1,"4","it",3,"0"
"87",1,14,2,1,4,1,"4","it",3,"0"
"88",1,18,2,1,4,1,"4","ahp",3,"0"
"89",1,25,1,0.3,2,0.825,"4","ahp",3,"0"
"90",1,14,2,1,4,1,"4","ahp",3,"0"
"91",1,21,5,1,4,1,"5","it",3,"0"
"92",1,22,0,1,4,1,"5","it",3,"0"
"93",1,23,5,1,4,1,"5","it",3,"0"
"94",1,21,1,0.3,2,0.825,"5","ahp",3,"0"
"95",1,22,1,1,4,1,"5","ahp",3,"0"
"96",1,23,1,1,4,1,"5","ahp",3,"0"
"97",1,25,1,0.3,2,0.825,"6","it",3,"0"
"98",1,26,5,1,4,1,"6","it",3,"0"
"99",1,29,0,1,4,1,"6","it",3,"0"
"100",1,25,2,0.3,2,0.825,"6","ahp",3,"0"
"101",1,26,1,0.3,2,0.825,"6","ahp",3,"0"
"102",1,29,1,0.3,2,0.825,"6","ahp",3,"0"
"103",1,27,5,1,4,1,"7","it",3,"0"
"104",1,28,5,1,4,1,"7","it",3,"0"
"105",1,15,5,1,4,1,"7","it",3,"0"
"106",1,27,1,0,0,0.688636,"7","ahp",3,"0"
"107",1,28,5,1,4,1,"7","ahp",3,"0"
"108",1,15,1,0.3,2,0.825,"7","ahp",3,"0"
"109",1,23,0,1,4,1,"8","it",3,"0"
"110",1,8,2,0.3,2,0.825,"8","it",3,"0"
"111",1,12,0,1,4,1,"8","it",3,"0"
"112",1,23,1,0.3,2,0.825,"8","ahp",3,"0"
"113",1,8,1,0.3,2,0.825,"8","ahp",3,"0"
"114",1,12,1,0.3,2,0.825,"8","ahp",3,"0"
"115",1,16,0,1,4,1,"9","it",3,"0"
"116",1,30,0,1,4,1,"9","it",3,"0"
"117",1,15,1,1,4,1,"9","it",3,"0"
"118",1,16,1,1,4,1,"9","ahp",3,"0"
"119",1,30,1,0.7,2,0.85,"9","ahp",3,"0"
"120",1,15,1,1,4,1,"9","ahp",3,"0"
"121",1,6,0,0.7,2,0.85,"1","it",30,"0"
"122",1,7,2,0.3,2,0.825,"1","it",30,"0"
"123",1,8,0,1,4,1,"1","it",30,"0"
"124",1,9,2,0.7,2,0.85,"1","it",30,"0"
"125",1,10,2,0.7,2,0.95,"1","it",30,"0"
"126",1,11,0,0.3,2,0.825,"1","it",30,"0"
"127",1,12,1,0,0,0.679077,"1","it",30,"0"
"128",1,13,4,0,0,0.714769,"1","it",30,"0"
"129",1,14,5,0.3,2,0.825,"1","it",30,"0"
"130",1,15,0,1,4,1,"1","it",30,"0"
"131",1,16,4,0.1,1,0.759,"1","it",30,"0"
"132",1,17,0,0.7,2,0.85,"1","it",30,"0"
"133",1,18,1,0,0,0.675,"1","it",30,"0"
"134",1,19,5,0.3,2,0.825,"1","it",30,"0"
"135",1,20,1,0,0,0.675,"1","it",30,"0"
"136",1,21,0,0.7,2,0.91,"1","it",30,"0"
"137",1,22,2,1,4,1,"1","it",30,"0"
"138",1,23,1,0.3,2,0.825,"1","it",30,"0"
"139",1,24,0,0.7,2,0.85,"1","it",30,"0"
"140",1,25,1,0.3,2,0.825,"1","it",30,"0"
"141",1,26,1,0.3,2,0.825,"1","it",30,"0"
"142",1,27,5,0.7,2,0.85,"1","it",30,"0"
"143",1,28,4,0.1,1,0.759,"1","it",30,"0"
"144",1,29,0,0.7,2,0.85,"1","it",30,"0"
"145",1,30,2,0,0,0.675,"1","it",30,"0"
"146",1,31,5,0.3,2,0.825,"1","it",30,"0"
"147",1,32,1,0.3,2,0.825,"1","it",30,"0"
"148",1,33,2,0.7,2,0.85,"1","it",30,"0"
"149",1,34,1,0.3,2,0.825,"1","it",30,"0"
"150",1,35,4,0.1,1,0.759,"1","it",30,"0"
"151",1,6,4,0.4,2,0.934,"1","ahp",30,"0"
"152",1,7,1,0.3,2,0.825,"1","ahp",30,"0"
"153",1,8,1,0,0,0.675,"1","ahp",30,"0"
"154",1,9,1,0,0,0.68726,"1","ahp",30,"0"
"155",1,10,4,0.4,2,0.934,"1","ahp",30,"0"
"156",1,11,1,0,0,0.620455,"1","ahp",30,"0"
"157",1,12,1,0,0,0.675,"1","ahp",30,"0"
"158",1,13,1,0,0,0.675,"1","ahp",30,"0"
"159",1,14,1,0.3,2,0.825,"1","ahp",30,"0"
"160",1,15,3,0.4,2,0.988,"1","ahp",30,"0"
"161",1,16,1,0,0,0.675,"1","ahp",30,"0"
"162",1,17,4,0.4,2,0.934,"1","ahp",30,"0"
"163",1,18,1,0,0,0.675,"1","ahp",30,"0"
"164",1,19,1,0.3,2,0.825,"1","ahp",30,"0"
"165",1,20,1,0,0,0.675,"1","ahp",30,"0"
"166",1,21,3,0.4,2,0.988,"1","ahp",30,"0"
"167",1,22,2,1,4,1,"1","ahp",30,"0"
"168",1,23,1,0.3,2,0.825,"1","ahp",30,"0"
"169",1,24,3,0.3,1,0.898,"1","ahp",30,"0"
"170",1,25,1,0,0,0.675,"1","ahp",30,"0"
"171",1,26,1,0,0,0.675,"1","ahp",30,"0"
"172",1,27,4,0.4,2,0.934,"1","ahp",30,"0"
"173",1,28,1,0,0,0.675,"1","ahp",30,"0"
"174",1,29,4,0.4,2,0.934,"1","ahp",30,"0"
"175",1,30,1,0,0,0.675,"1","ahp",30,"0"
"176",1,31,1,0,0,0.675,"1","ahp",30,"0"
"177",1,32,1,0,0,0.675,"1","ahp",30,"0"
"178",1,33,1,0.3,2,0.825,"1","ahp",30,"0"
"179",1,34,1,0,0,0.675,"1","ahp",30,"0"
"180",1,35,1,0,0,0.675,"1","ahp",30,"0"
"181",1,6,0,0.3,2,0.825,"10","it",30,"0"
"182",1,7,4,0.1,1,0.759,"10","it",30,"0"
"183",1,8,0,0.7,2,0.970499,"10","it",30,"0"
"184",1,9,1,1,4,1,"10","it",30,"0"
"185",1,10,1,1,4,1,"10","it",30,"0"
"186",1,11,0,1,4,1,"10","it",30,"0"
"187",1,12,5,0.7,2,0.8825,"10","it",30,"0"
"188",1,13,5,0.7,2,0.85,"10","it",30,"0"
"189",1,14,5,0,0,0.675,"10","it",30,"0"
"190",1,15,5,1,4,1,"10","it",30,"0"
