"seconds_ahp","run","seconds_it","users","speed"
"1",0.021364,"1",0.006493,3,"0-5"
"2",0.012339,"1",0.004437,3,"0-5"
"3",0.011111,"1",0.003313,3,"0-5"
"4",0.008682,"1",0.003864,3,"0-5"
"5",0.010958,"1",0.004397,3,"0-5"
"6",0.011456,"1",0.003285,3,"0-5"
"7",0.015403,"1",0.004671,3,"0-5"
"8",0.018622,"1",0.014751,3,"0-5"
"9",0.017787,"1",0.003248,3,"0-5"
"10",0.014841,"1",0.004477,3,"0-5"
"11",0.017749,"1",0.004582,3,"0-5"
"12",0.011208,"1",0.003747,3,"0-5"
"13",0.012258,"1",0.005629,3,"0-5"
"14",0.010857,"1",0.004741,3,"0-5"
"15",0.010083,"1",0.003016,3,"0-5"
"16",0.008532,"1",0.004099,3,"0-5"
"17",0.011074,"1",0.003504,3,"0-5"
"18",0.010472,"1",0.005319,3,"0-5"
"19",0.013072,"1",0.004136,3,"0-5"
"20",0.012142,"1",0.003405,3,"0-5"
"21",0.00931,"1",0.005243,3,"0-5"
"22",0.007036,"1",0.003968,3,"0-5"
"23",0.011396,"1",0.003837,3,"0-5"
"24",0.013779,"1",0.003668,3,"0-5"
"25",0.014272,"1",0.003409,3,"0-5"
"26",0.012026,"1",0.003642,3,"0-5"
"27",0.010013,"1",0.003416,3,"0-5"
"28",0.008568,"1",0.004719,3,"0-5"
"29",0.008412,"1",0.003249,3,"0-5"
"30",0.009284,"1",0.003557,3,"0-5"
"31",0.007674,"1",0.003506,3,"0-5"
"32",0.006258,"1",0.006674,3,"0-5"
"33",0.007835,"1",0.003311,3,"0-5"
"34",0.007618,"1",0.002812,3,"0-5"
"35",0.009631,"1",0.002872,3,"0-5"
"36",0.008258,"1",0.002773,3,"0-5"
"37",0.023699,"1",0.00412,3,"0-5"
"38",0.008927,"1",0.003836,3,"0-5"
"39",0.00958,"1",0.003315,3,"0-5"
"40",0.008368,"1",0.002979,3,"0-5"
"41",0.013714,"1",0.003113,3,"0-5"
"42",0.009335,"1",0.003964,3,"0-5"
"43",0.010599,"1",0.003655,3,"0-5"
"44",0.011726,"1",0.003015,3,"0-5"
"45",0.008019,"1",0.003663,3,"0-5"
"46",0.00936,"1",0.003552,3,"0-5"
"47",0.016963,"1",0.003299,3,"0-5"
"48",0.007788,"1",0.003503,3,"0-5"
"49",0.006965,"1",0.002681,3,"0-5"
"50",0.006129,"1",0.002638,3,"0-5"
"51",0.009293,"1",0.003439,3,"0-5"
"52",0.012849,"1",0.004493,3,"0-5"
"53",0.007274,"1",0.002581,3,"0-5"
"54",0.005921,"1",0.002853,3,"0-5"
"55",0.009015,"1",0.002759,3,"0-5"
"56",0.007378,"1",0.003098,3,"0-5"
"57",0.007502,"1",0.002754,3,"0-5"
"58",0.011689,"1",0.003495,3,"0-5"
"59",0.007994,"1",0.003391,3,"0-5"
"60",0.007685,"1",0.003128,3,"0-5"
"61",0.006899,"1",0.005384,3,"0-5"
"62",0.019159,"1",0.003118,3,"0-5"
"63",0.005948,"1",0.002939,3,"0-5"
"64",0.007536,"1",0.003178,3,"0-5"
"65",0.009996,"1",0.003228,3,"0-5"
"66",0.006494,"1",0.002577,3,"0-5"
"67",0.006371,"1",0.002483,3,"0-5"
"68",0.009267,"1",0.002821,3,"0-5"
"69",0.00989,"1",0.002767,3,"0-5"
"70",0.010712,"1",0.00309,3,"0-5"
"71",0.007052,"1",0.00436,3,"0-5"
"72",0.008904,"1",0.002791,3,"0-5"
"73",0.006251,"1",0.002905,3,"0-5"
"74",0.010395,"1",0.00328,3,"0-5"
"75",0.006923,"1",0.002458,3,"0-5"
"76",0.010423,"1",0.002424,3,"0-5"
"77",0.009181,"1",0.002643,3,"0-5"
"78",0.007358,"1",0.002464,3,"0-5"
"79",0.009201,"1",0.002458,3,"0-5"
"80",0.007741,"1",0.002834,3,"0-5"
"81",0.007822,"1",0.002596,3,"0-5"
"82",0.007208,"1",0.002614,3,"0-5"
"83",0.007099,"1",0.002666,3,"0-5"
"84",0.00583,"1",0.003092,3,"0-5"
"85",0.006784,"1",0.003032,3,"0-5"
"86",0.009509,"1",0.002877,3,"0-5"
"87",0.005655,"1",0.002555,3,"0-5"
"88",0.006521,"1",0.002858,3,"0-5"
"89",0.006742,"1",0.002677,3,"0-5"
"90",0.007251,"1",0.002987,3,"0-5"
"91",0.013555,"10",0.00511,3,"0-5"
"92",0.016064,"10",0.004585,3,"0-5"
"93",0.013986,"10",0.003836,3,"0-5"
"94",0.012714,"10",0.003611,3,"0-5"
"95",0.014627,"10",0.004,3,"0-5"
"96",0.013188,"10",0.009794,3,"0-5"
"97",0.012241,"10",0.004174,3,"0-5"
"98",0.018264,"10",0.005292,3,"0-5"
"99",0.00937,"10",0.004536,3,"0-5"
"100",0.022136,"10",0.004592,3,"0-5"
"101",0.017969,"10",0.003855,3,"0-5"
"102",0.010612,"10",0.003755,3,"0-5"
"103",0.008907,"10",0.003412,3,"0-5"
"104",0.011081,"10",0.003682,3,"0-5"
"105",0.008032,"10",0.003525,3,"0-5"
"106",0.012548,"10",0.005418,3,"0-5"
"107",0.013715,"10",0.004334,3,"0-5"
"108",0.008052,"10",0.003726,3,"0-5"
"109",0.009652,"10",0.004031,3,"0-5"
"110",0.017066,"10",0.004222,3,"0-5"
"111",0.007751,"10",0.003451,3,"0-5"
"112",0.008531,"10",0.0034,3,"0-5"
"113",0.00983,"10",0.004264,3,"0-5"
"114",0.010309,"10",0.003012,3,"0-5"
"115",0.012679,"10",0.007662,3,"0-5"
"116",0.0118,"10",0.003857,3,"0-5"
"117",0.009238,"10",0.003481,3,"0-5"
"118",0.009718,"10",0.003875,3,"0-5"
"119",0.013324,"10",0.004477,3,"0-5"
"120",0.007633,"10",0.004327,3,"0-5"
"121",0.014167,"10",0.003545,3,"0-5"
"122",0.013516,"10",0.004883,3,"0-5"
"123",0.007565,"10",0.003162,3,"0-5"
"124",0.015767,"10",0.003662,3,"0-5"
"125",0.015501,"10",0.004694,3,"0-5"
"126",0.01009,"10",0.003775,3,"0-5"
"127",0.021074,"10",0.003785,3,"0-5"
"128",0.016018,"10",0.004912,3,"0-5"
"129",0.009641,"10",0.005365,3,"0-5"
"130",0.017595,"10",0.003836,3,"0-5"
"131",0.01416,"10",0.004028,3,"0-5"
"132",0.008306,"10",0.003396,3,"0-5"
"133",0.013092,"10",0.004006,3,"0-5"
"134",0.022631,"10",0.004316,3,"0-5"
"135",0.007855,"10",0.003374,3,"0-5"
"136",0.0171,"10",0.003713,3,"0-5"
"137",0.018266,"10",0.005357,3,"0-5"
"138",0.006991,"10",0.004252,3,"0-5"
"139",0.017001,"10",0.00615,3,"0-5"
"140",0.023433,"10",0.004584,3,"0-5"
"141",0.014457,"10",0.00343,3,"0-5"
"142",0.01334,"10",0.005554,3,"0-5"
"143",0.033827,"10",0.003566,3,"0-5"
"144",0.008683,"10",0.003361,3,"0-5"
"145",0.01508,"10",0.006867,3,"0-5"
"146",0.019318,"10",0.004264,3,"0-5"
"147",0.006586,"10",0.002875,3,"0-5"
"148",0.017577,"10",0.002592,3,"0-5"
"149",0.020118,"10",0.002833,3,"0-5"
"150",0.008472,"10",0.00213,3,"0-5"
"151",0.015018,"10",0.003195,3,"0-5"
"152",0.017951,"10",0.002806,3,"0-5"
"153",0.008611,"10",0.006227,3,"0-5"
"154",0.009337,"10",0.002439,3,"0-5"
"155",0.008556,"10",0.005227,3,"0-5"
"156",0.007717,"10",0.00245,3,"0-5"
"157",0.01022,"10",0.002502,3,"0-5"
"158",0.008994,"10",0.00335,3,"0-5"
"159",0.00876,"10",0.00234,3,"0-5"
"160",0.01175,"10",0.00278,3,"0-5"
"161",0.012326,"10",0.003061,3,"0-5"
"162",0.007777,"10",0.002211,3,"0-5"
"163",0.008008,"10",0.002406,3,"0-5"
"164",0.009208,"10",0.002894,3,"0-5"
"165",0.006664,"10",0.002868,3,"0-5"
"166",0.009667,"10",0.002363,3,"0-5"
"167",0.009414,"10",0.004988,3,"0-5"
"168",0.008851,"10",0.002265,3,"0-5"
"169",0.008929,"10",0.002603,3,"0-5"
"170",0.009752,"10",0.003241,3,"0-5"
"171",0.005322,"10",0.002168,3,"0-5"
"172",0.007861,"10",0.002731,3,"0-5"
"173",0.011845,"10",0.00417,3,"0-5"
"174",0.006916,"10",0.002482,3,"0-5"
"175",0.007429,"10",0.002536,3,"0-5"
"176",0.014538,"10",0.003141,3,"0-5"
"177",0.00587,"10",0.002224,3,"0-5"
"178",0.008529,"10",0.002837,3,"0-5"
"179",0.011028,"10",0.003144,3,"0-5"
"180",0.009271,"10",0.002195,3,"0-5"
"181",0.045655,"11",0.006281,3,"0-5"
"182",0.033862,"11",0.004126,3,"0-5"
"183",0.043351,"11",0.00364,3,"0-5"
"184",0.0095,"11",0.003955,3,"0-5"
"185",0.012672,"11",0.004826,3,"0-5"
"186",0.010968,"11",0.004557,3,"0-5"
"187",0.008184,"11",0.003715,3,"0-5"
"188",0.008606,"11",0.004,3,"0-5"
"189",0.010194,"11",0.004215,3,"0-5"
"190",0.008955,"11",0.006319,3,"0-5"
"191",0.008137,"11",0.00418,3,"0-5"
"192",0.01117,"11",0.003876,3,"0-5"
"193",0.01095,"11",0.005516,3,"0-5"
"194",0.012467,"11",0.003726,3,"0-5"
"195",0.0073,"11",0.003588,3,"0-5"
"196",0.01219,"11",0.004199,3,"0-5"
"197",0.011847,"11",0.003616,3,"0-5"
"198",0.013369,"11",0.003946,3,"0-5"
"199",0.009208,"11",0.004071,3,"0-5"
"200",0.011004,"11",0.003987,3,"0-5"
"201",0.009478,"11",0.003758,3,"0-5"
"202",0.008808,"11",0.004349,3,"0-5"
"203",0.012573,"11",0.004649,3,"0-5"
"204",0.016987,"11",0.007977,3,"0-5"
"205",0.009133,"11",0.004785,3,"0-5"
"206",0.012236,"11",0.005224,3,"0-5"
"207",0.013846,"11",0.003386,3,"0-5"
"208",0.009456,"11",0.005532,3,"0-5"
"209",0.008729,"11",0.005401,3,"0-5"
"210",0.011826,"11",0.003701,3,"0-5"
"211",0.007609,"11",0.005332,3,"0-5"
"212",0.015725,"11",0.004726,3,"0-5"
"213",0.008391,"11",0.002718,3,"0-5"
"214",0.007412,"11",0.003434,3,"0-5"
"215",0.005937,"11",0.003047,3,"0-5"
"216",0.009267,"11",0.004043,3,"0-5"
"217",0.008748,"11",0.003144,3,"0-5"
"218",0.008005,"11",0.003141,3,"0-5"
"219",0.005879,"11",0.00282,3,"0-5"
"220",0.007438,"11",0.002856,3,"0-5"
"221",0.00801,"11",0.002881,3,"0-5"
"222",0.012788,"11",0.003393,3,"0-5"
"223",0.004938,"11",0.003132,3,"0-5"
"224",0.01009,"11",0.003255,3,"0-5"
"225",0.00833,"11",0.003699,3,"0-5"
"226",0.008802,"11",0.00285,3,"0-5"
"227",0.008813,"11",0.002804,3,"0-5"
"228",0.022533,"11",0.003439,3,"0-5"
"229",0.00804,"11",0.003632,3,"0-5"
"230",0.00832,"11",0.005632,3,"0-5"
"231",0.007523,"11",0.003115,3,"0-5"
"232",0.008925,"11",0.003119,3,"0-5"
"233",0.00574,"11",0.003154,3,"0-5"
"234",0.013152,"11",0.003418,3,"0-5"
"235",0.009584,"11",0.003088,3,"0-5"
"236",0.018408,"11",0.00332,3,"0-5"
"237",0.056213,"11",0.003375,3,"0-5"
"238",0.015743,"11",0.003421,3,"0-5"
"239",0.006825,"11",0.003132,3,"0-5"
"240",0.007523,"11",0.003611,3,"0-5"
"241",0.014586,"12",0.005795,3,"0-5"
"242",0.023806,"12",0.00643,3,"0-5"
"243",0.016704,"12",0.007221,3,"0-5"
"244",0.012613,"12",0.003824,3,"0-5"
"245",0.012413,"12",0.015864,3,"0-5"
"246",0.011557,"12",0.004342,3,"0-5"
"247",0.019899,"12",0.003877,3,"0-5"
"248",0.024292,"12",0.003583,3,"0-5"
"249",0.016946,"12",0.00551,3,"0-5"
"250",0.012881,"12",0.004881,3,"0-5"
"251",0.012744,"12",0.003331,3,"0-5"
"252",0.015096,"12",0.00524,3,"0-5"
"253",0.007203,"12",0.005732,3,"0-5"
"254",0.009013,"12",0.003861,3,"0-5"
"255",0.015516,"12",0.005143,3,"0-5"
