"seconds_ahp","run","seconds_it","users","speed"
"1",0.014588,"1",0.010039,30,"0"
"2",0.013264,"1",0.00435,30,"0"
"3",0.007626,"1",0.00332,30,"0"
"4",0.006702,"1",0.004137,30,"0"
"5",0.011611,"1",0.007196,30,"0"
"6",0.006089,"1",0.002787,30,"0"
"7",0.006939,"1",0.003169,30,"0"
"8",0.007373,"1",0.003283,30,"0"
"9",0.009154,"1",0.002511,30,"0"
"10",0.007365,"1",0.003374,30,"0"
"11",0.005996,"1",0.003485,30,"0"
"12",0.007612,"1",0.002757,30,"0"
"13",0.009138,"1",0.004392,30,"0"
"14",0.007255,"1",0.004003,30,"0"
"15",0.010771,"1",0.003894,30,"0"
"16",0.016945,"1",0.002605,30,"0"
"17",0.034853,"1",0.003212,30,"0"
"18",0.011679,"1",0.003031,30,"0"
"19",0.014615,"1",0.002481,30,"0"
"20",0.007145,"1",0.002607,30,"0"
"21",0.009002,"1",0.002804,30,"0"
"22",0.007882,"1",0.003105,30,"0"
"23",0.009386,"1",0.003623,30,"0"
"24",0.007815,"1",0.003328,30,"0"
"25",0.007802,"1",0.003338,30,"0"
"26",0.013139,"1",0.003383,30,"0"
"27",0.007376,"1",0.003366,30,"0"
"28",0.008379,"1",0.003208,30,"0"
"29",0.006544,"1",0.002627,30,"0"
"30",0.00846,"1",0.003428,30,"0"
"31",0.013334,"10",0.006052,30,"0"
"32",0.011299,"10",0.003904,30,"0"
"33",0.012781,"10",0.0035,30,"0"
"34",0.010416,"10",0.00262,30,"0"
"35",0.009343,"10",0.002787,30,"0"
"36",0.005884,"10",0.003262,30,"0"
"37",0.01487,"10",0.003557,30,"0"
"38",0.005059,"10",0.002279,30,"0"
"39",0.004258,"10",0.002076,30,"0"
"40",0.004812,"10",0.002115,30,"0"
"41",0.008389,"10",0.002496,30,"0"
"42",0.006977,"10",0.002213,30,"0"
"43",0.007834,"10",0.003758,30,"0"
"44",0.005222,"10",0.002005,30,"0"
"45",0.004495,"10",0.00262,30,"0"
"46",0.009241,"10",0.003273,30,"0"
"47",0.008744,"10",0.00274,30,"0"
"48",0.009079,"10",0.002928,30,"0"
"49",0.005764,"10",0.002615,30,"0"
"50",0.00618,"10",0.00303,30,"0"
"51",0.006546,"10",0.002588,30,"0"
"52",0.007647,"10",0.003037,30,"0"
"53",0.008003,"10",0.002726,30,"0"
"54",0.00455,"10",0.002165,30,"0"
"55",0.008089,"10",0.002025,30,"0"
"56",0.007924,"10",0.002281,30,"0"
"57",0.005137,"10",0.002022,30,"0"
"58",0.013895,"11",0.006411,30,"0"
"59",0.012031,"11",0.004729,30,"0"
"60",0.009892,"11",0.004607,30,"0"
"61",0.006594,"11",0.002667,30,"0"
"62",0.009996,"11",0.003672,30,"0"
"63",0.01464,"11",0.004579,30,"0"
"64",0.008083,"11",0.003553,30,"0"
"65",0.006906,"11",0.00365,30,"0"
"66",0.005156,"11",0.003348,30,"0"
"67",0.007696,"11",0.003069,30,"0"
"68",0.007334,"11",0.003188,30,"0"
"69",0.009244,"11",0.004219,30,"0"
"70",0.008809,"11",0.003171,30,"0"
"71",0.009467,"11",0.00375,30,"0"
"72",0.007571,"11",0.003533,30,"0"
"73",0.007562,"11",0.003454,30,"0"
"74",0.010685,"11",0.003729,30,"0"
"75",0.00849,"11",0.003352,30,"0"
"76",0.005565,"11",0.002122,30,"0"
"77",0.00804,"11",0.003387,30,"0"
