"seconds_ahp","run","seconds_it","users","speed"
"1",0.014415,"1",0.005631,12,"0"
"2",0.014873,"1",0.003289,12,"0"
"3",0.00955,"1",0.004558,12,"0"
"4",0.007475,"1",0.004159,12,"0"
"5",0.008755,"1",0.003657,12,"0"
"6",0.006487,"1",0.003494,12,"0"
"7",0.008746,"1",0.003342,12,"0"
"8",0.005645,"1",0.0031,12,"0"
"9",0.00964,"1",0.003268,12,"0"
"10",0.010079,"1",0.003908,12,"0"
"11",0.006678,"1",0.003735,12,"0"
"12",0.008637,"1",0.003894,12,"0"
"13",0.011187,"10",0.004474,12,"0"
"14",0.012957,"10",0.003764,12,"0"
"15",0.012826,"10",0.003661,12,"0"
"16",0.009614,"10",0.003408,12,"0"
"17",0.008662,"10",0.002563,12,"0"
"18",0.00752,"10",0.00306,12,"0"
"19",0.006315,"10",0.003835,12,"0"
"20",0.004883,"10",0.00244,12,"0"
"21",0.004146,"10",0.002086,12,"0"
"22",0.005229,"10",0.002132,12,"0"
"23",0.008746,"10",0.003152,12,"0"
"24",0.014546,"11",0.006042,12,"0"
"25",0.012126,"11",0.005981,12,"0"
"26",0.013888,"11",0.004943,12,"0"
"27",0.00806,"11",0.003721,12,"0"
"28",0.009827,"11",0.003969,12,"0"
"29",0.013599,"11",0.004306,12,"0"
"30",0.008975,"11",0.003777,12,"0"
"31",0.006095,"11",0.002974,12,"0"
"32",0.005139,"11",0.002637,12,"0"
"33",0.008012,"11",0.003434,12,"0"
"34",0.005164,"11",0.002529,12,"0"
"35",0.008673,"11",0.004401,12,"0"
"36",0.0138,"12",0.006824,12,"0"
"37",0.012124,"12",0.003643,12,"0"
"38",0.008645,"12",0.00427,12,"0"
"39",0.007668,"12",0.003067,12,"0"
"40",0.009182,"12",0.00607,12,"0"
"41",0.006894,"12",0.003963,12,"0"
"42",0.007818,"12",0.004097,12,"0"
"43",0.007513,"12",0.00345,12,"0"
"44",0.008606,"12",0.002564,12,"0"
"45",0.00527,"12",0.002846,12,"0"
"46",0.007787,"12",0.002203,12,"0"
"47",0.009924,"12",0.003844,12,"0"
"48",0.018373,"13",0.015808,12,"0"
"49",0.014135,"13",0.009239,12,"0"
"50",0.009822,"13",0.0059,12,"0"
"51",0.010516,"13",0.003604,12,"0"
"52",0.013762,"13",0.003631,12,"0"
"53",0.015293,"13",0.003504,12,"0"
"54",0.010985,"13",0.003359,12,"0"
"55",0.008743,"13",0.003123,12,"0"
"56",0.009344,"13",0.003415,12,"0"
"57",0.008355,"13",0.003094,12,"0"
"58",0.012639,"13",0.003151,12,"0"
"59",0.006939,"13",0.00295,12,"0"
"60",0.019727,"14",0.006279,12,"0"
"61",0.02061,"14",0.004938,12,"0"
