1,14,10,31,5
1,8,23,30,6,22,15,5
1,20,9,30,0
2,14,5
2,8,23,0
2,20,9,16,14,5
3,14,5
3,8,28,23,0
3,20,11,30,0
4,14,9,16,22,23,0
4,8,28,20,11,16,1
4,20,11,16,9,6,5
5,14,5
5,8,28,20,11,22,23,0
5,20,11,22,23,0
6,14,5
6,8,28,20,11,21,22,0
6,20,11,21,22,0
7,14,5
7,8,28,20,11,22,0
7,20,11,22,0
8,14,5
8,8,20,11,22,21,0
8,20,11,22,21,0
9,14,6,5,23,3,0
9,8,-2,
9,20,11,22,21,0
10,14,6,5,23,3,0
10,8,-2,
10,20,-2,
11,14,6,9,5,23,3,21,0
11,8,-2,
11,20,22,7,32,2
12,14,6,9,5
12,8,-2,
12,20,-2,
13,14,6,9,5
13,8,-2,
13,20,-2,
14,14,6,9,5,18,4,1
14,8,-2,
14,20,-2,
15,14,-2,
15,8,-2,
15,20,-2,
16,14,-2,
16,8,-2,
16,20,-2,
17,14,-2,
17,8,-2,
17,20,-2,
18,14,-2,
18,8,-2,
18,20,-2,
19,14,-2,
19,8,-2,
19,20,-2,
20,14,-2,
20,8,-2,
20,20,-2,
21,14,-2,
21,8,-2,
21,20,-2,
22,14,-2,
22,8,-2,
22,20,-2,
23,14,-2,
23,8,-2,
23,20,-2,
24,14,-2,
24,8,-2,
24,20,-2,
25,14,-2,
25,8,-2,
25,20,-2,
26,14,-2,
26,8,-2,
26,20,-2,
27,14,-2,
27,8,-2,
27,20,-2,
28,14,-2,
28,8,-2,
28,20,-2,
29,14,-2,
29,8,-2,
29,20,-2,
30,14,-2,
30,8,-2,
30,20,-2,
