1,16,21,28,1
1,28,1
1,12,31,9,3,30,33,28,1
1,16,3
1,28,1
1,12,31,20,9,3,30,10,28,1
1,16,3
1,28,25,1
1,12,20,9,0,23,24,15,1
1,16,4
1,28,25,1
1,12,20,9,0,23,24,15,1
1,16,4
1,28,25,1
5,12,-2,
1,16,4
1,28,25,1
6,12,-2,
1,16,4
1,28,25,15,24,1
7,12,-2,
1,16,22,30,15,24,1
1,28,25,30,15,24,1
8,12,-2,
1,16,22,30,4,15,24,1
1,28,25,15,24,1
9,12,-2,
1,16,22,4
1,28,25,30,4,15,24,1
10,12,-2,
1,16,22,4
1,28,8,24,1
11,12,-2,
1,16,30,15,4
12,28,-2,
12,12,-2,
1,16,30,15,4
13,28,-2,
13,12,-2,
1,16,30,25,15,4
14,28,-2,
14,12,-2,
1,16,30,25,15,4
15,28,-2,
15,12,-2,
1,16,30,25,15,4
16,28,-2,
16,12,-2,
17,16,-2,
17,28,-2,
17,12,-2,
18,16,-2,
18,28,-2,
18,12,-2,
19,16,-2,
19,28,-2,
19,12,-2,
20,16,-2,
20,28,-2,
20,12,-2,
21,16,-2,
21,28,-2,
21,12,-2,
22,16,-2,
22,28,-2,
22,12,-2,
23,16,-2,
23,28,-2,
23,12,-2,
24,16,-2,
24,28,-2,
24,12,-2,
25,16,-2,
25,28,-2,
25,12,-2,
26,16,-2,
26,28,-2,
26,12,-2,
27,16,-2,
27,28,-2,
27,12,-2,
28,16,-2,
28,28,-2,
28,12,-2,
29,16,-2,
29,28,-2,
29,12,-2,
30,16,-2,
30,28,-2,
30,12,-2,
