1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,16,1
1,26,1
1,25,2
1,29,6,1
1,26,1
1,25,2
1,29,6,1
1,26,17,1
1,25,7,2
1,29,6,35,1
1,26,1
1,25,7,2
1,29,6,35,1
1,26,9,1
1,25,7,2
1,29,35,1
1,26,9,1
1,25,7,2
1,29,35,1
1,26,0
9,25,-2,
1,29,35,1
1,26,0
10,25,-2,
1,29,35,1
1,26,3,0,27,14,15,1
11,25,-2,
11,29,-2,
1,26,3
12,25,-2,
12,29,-2,
1,26,19,12,0
13,25,-2,
13,29,-2,
13,26,-2,
14,25,-2,
14,29,-2,
14,26,-2,
15,25,-2,
15,29,-2,
15,26,-2,
16,25,-2,
16,29,-2,
16,26,-2,
17,25,-2,
17,29,-2,
17,26,-2,
18,25,-2,
18,29,-2,
18,26,-2,
19,25,-2,
19,29,-2,
19,26,-2,
20,25,-2,
20,29,-2,
20,26,-2,
21,25,-2,
21,29,-2,
21,26,-2,
22,25,-2,
22,29,-2,
22,26,-2,
23,25,-2,
23,29,-2,
23,26,-2,
24,25,-2,
24,29,-2,
24,26,-2,
25,25,-2,
25,29,-2,
25,26,-2,
26,25,-2,
26,29,-2,
26,26,-2,
27,25,-2,
27,29,-2,
27,26,-2,
28,25,-2,
28,29,-2,
28,26,-2,
29,25,-2,
29,29,-2,
29,26,-2,
30,25,-2,
30,29,-2,
30,26,-2,
